% File Generated: 02-Feb-2012 01:26:27
% Dataset Collection: World Weather Records
% Type: TAVG - Monthly
% Version: LATEST
% Dataset Hash: ece35437b3d70e2c533f845ca07605cb
% 
% ------------------------------------
% 
% This file is a plain text export of a portion of the temperature data contained 
% in Berkeley Earth Surface Temperature Analysis.
% 
% The associated dataset name is shown above, while this file should have the 
% name
% 
% 	sources.txt
% 
% For general information about this data product, please refer to the data set 
% readme file: README.txt
% 
% The current file contains the per datum source flags in tab delimited columnar 
% format.  The main temperature data, other secondary data, and station metadata 
% can be found in other files in the same directory and should be distributed 
% together.
% 
% The columns contained in this file are as follows:
% 
% 	Station ID: A unique integer identifying each station.  Metadata for the site 
% is contained in the associated files labeled "site_summary" or "site_detail".
% 
% 	Series Number: An integer identifying each time series at the specified site.  
% Refer to "data.txt" for more information.
% 
% 	Date: The date of a measurement is expressed as a year and decimal fraction of 
% a year corresponding to the midpoint of the time period being represented.  
% Refer to "data.txt" for more information.
% 
% 	Flag List: A tab delimited list of source flags.  Each flag is represented by 
% an integer, with “0” as a placeholder indicating no flag.  For convenience each 
% row has the same number of columns.  Explanations of the source flag codes are 
% contained in "source_flag_definitions"
% 	
% 
% The data is sorted so that Station ID, and then Duplicate Number, and then Date 
% are guaranteed to be in ascending order.  This order is identical to the order 
% in "data.txt"
% 
% ***Important note regarding duplicate values: This dataset may be constructed 
% in such a way that duplicate values are possible _even within a single time 
% series_.  Please refer to "data.txt" and the README for more information.
% 
% 
% ------------------------------------
% Station ID, Series Number, Date, Source list ...
% 
86391	1	1997.542	76
86391	1	1997.625	76
86391	1	1997.708	76
86391	1	1997.792	76
86391	1	1997.875	76
86391	1	1997.958	76
86391	1	1998.042	76
86391	1	1998.125	76
86391	1	1998.208	76
86391	1	1998.292	76
86391	1	1998.375	76
86391	1	1998.458	76
86391	1	1998.542	76
86391	1	1998.625	76
86391	1	1998.708	76
86391	1	1998.792	76
86391	1	1998.875	76
86391	1	1998.958	76
86391	1	1999.042	76
86391	1	1999.125	76
86391	1	1999.208	76
86391	1	1999.292	76
86391	1	1999.375	76
86391	1	1999.458	76
86391	1	1999.542	76
86391	1	1999.625	76
86391	1	1999.708	76
86391	1	1999.792	76
86391	1	1999.875	76
86391	1	1999.958	76
86391	1	2000.042	76
86391	1	2000.125	76
86391	1	2000.208	76
86391	1	2000.292	76
86391	1	2000.375	76
86391	1	2000.458	76
86391	1	2000.542	76
86391	1	2000.625	76
86391	1	2000.708	76
86391	1	2000.792	76
86391	1	2000.875	76
86391	1	2000.958	76
86392	1	1991.042	76
86392	1	1991.125	76
86392	1	1991.208	76
86392	1	1991.292	76
86392	1	1991.375	76
86392	1	1991.458	76
86392	1	1991.542	76
86392	1	1991.625	76
86392	1	1991.708	76
86392	1	1991.792	76
86392	1	1991.875	76
86392	1	1991.958	76
86392	1	1992.042	76
86392	1	1992.125	76
86392	1	1992.208	76
86392	1	1992.292	76
86392	1	1992.375	76
86392	1	1992.458	76
86392	1	1992.542	76
86392	1	1992.625	76
86392	1	1992.708	76
86392	1	1992.792	76
86392	1	1992.875	76
86392	1	1992.958	76
86392	1	1993.042	76
86392	1	1993.125	76
86392	1	1993.208	76
86392	1	1993.292	76
86392	1	1993.375	76
86392	1	1993.458	76
86392	1	1993.542	76
86392	1	1993.625	76
86392	1	1993.708	76
86392	1	1993.792	76
86392	1	1993.875	76
86392	1	1993.958	76
86392	1	1994.042	76
86392	1	1994.125	76
86392	1	1994.208	76
86392	1	1994.292	76
86392	1	1994.375	76
86392	1	1994.458	76
86392	1	1994.542	76
86392	1	1994.625	76
86392	1	1994.708	76
86392	1	1994.792	76
86392	1	1994.875	76
86392	1	1994.958	76
86392	1	1995.292	76
86392	1	1995.375	76
86392	1	1995.458	76
86392	1	1995.542	76
86392	1	1995.625	76
86392	1	1995.708	76
86392	1	1995.792	76
86392	1	1995.875	76
86392	1	1995.958	76
86392	1	1996.042	76
86392	1	1996.125	76
86392	1	1996.208	76
86392	1	1996.292	76
86392	1	1996.375	76
86392	1	1996.458	76
86392	1	1996.542	76
86392	1	1996.625	76
86392	1	1996.708	76
86392	1	1996.792	76
86392	1	1996.875	76
86392	1	1996.958	76
86392	1	1997.042	76
86392	1	1997.125	76
86392	1	1997.208	76
86392	1	1997.292	76
86392	1	1997.375	76
86392	1	1997.458	76
86392	1	1997.542	76
86392	1	1997.625	76
86392	1	1997.708	76
86392	1	1997.792	76
86392	1	1997.875	76
86392	1	1997.958	76
86392	1	1998.042	76
86392	1	1998.125	76
86392	1	1998.208	76
86392	1	1998.292	76
86392	1	1998.375	76
86392	1	1998.458	76
86392	1	1998.542	76
86392	1	1998.625	76
86392	1	1998.708	76
86392	1	1998.792	76
86392	1	1998.875	76
86392	1	1998.958	76
86392	1	1999.042	76
86392	1	1999.125	76
86392	1	1999.208	76
86392	1	1999.292	76
86392	1	1999.375	76
86392	1	1999.458	76
86392	1	1999.542	76
86392	1	1999.625	76
86392	1	1999.708	76
86392	1	1999.792	76
86392	1	1999.875	76
86392	1	1999.958	76
86392	1	2000.042	76
86392	1	2000.125	76
86392	1	2000.208	76
86392	1	2000.292	76
86392	1	2000.375	76
86392	1	2000.458	76
86392	1	2000.542	76
86392	1	2000.625	76
86392	1	2000.708	76
86392	1	2000.792	76
86392	1	2000.875	76
86392	1	2000.958	76
86393	1	1991.042	76
86393	1	1991.125	76
86393	1	1991.208	76
86393	1	1991.292	76
86393	1	1991.375	76
86393	1	1991.458	76
86393	1	1991.542	76
86393	1	1991.625	76
86393	1	1991.708	76
86393	1	1991.792	76
86393	1	1991.875	76
86393	1	1991.958	76
86393	1	1992.042	76
86393	1	1992.125	76
86393	1	1992.208	76
86393	1	1992.292	76
86393	1	1992.375	76
86393	1	1992.458	76
86393	1	1992.542	76
86393	1	1992.625	76
86393	1	1992.708	76
86393	1	1992.792	76
86393	1	1992.875	76
86393	1	1992.958	76
86393	1	1993.042	76
86393	1	1993.125	76
86393	1	1993.208	76
86393	1	1993.292	76
86393	1	1993.375	76
86393	1	1993.458	76
86393	1	1993.542	76
86393	1	1993.625	76
86393	1	1993.708	76
86393	1	1993.792	76
86393	1	1993.875	76
86393	1	1993.958	76
86393	1	1994.042	76
86393	1	1994.125	76
86393	1	1994.208	76
86393	1	1994.292	76
86393	1	1994.375	76
86393	1	1994.458	76
86393	1	1994.542	76
86393	1	1994.625	76
86393	1	1994.708	76
86393	1	1994.792	76
86393	1	1994.875	76
86393	1	1994.958	76
86393	1	1995.042	76
86393	1	1995.125	76
86393	1	1995.208	76
86393	1	1995.292	76
86393	1	1995.375	76
86393	1	1995.458	76
86393	1	1995.542	76
86393	1	1995.625	76
86393	1	1995.708	76
86393	1	1995.792	76
86393	1	1995.875	76
86393	1	1995.958	76
86393	1	1996.042	76
86393	1	1996.125	76
86393	1	1996.208	76
86393	1	1996.292	76
86393	1	1996.375	76
86393	1	1996.458	76
86393	1	1996.542	76
86393	1	1996.625	76
86393	1	1996.708	76
86393	1	1996.792	76
86393	1	1996.875	76
86393	1	1996.958	76
86393	1	1997.042	76
86393	1	1997.125	76
86393	1	1997.208	76
86393	1	1997.292	76
86393	1	1997.375	76
86393	1	1997.458	76
86393	1	1997.542	76
86393	1	1997.625	76
86393	1	1997.708	76
86393	1	1997.792	76
86393	1	1997.875	76
86393	1	1997.958	76
86393	1	1998.042	76
86393	1	1998.125	76
86393	1	1998.208	76
86393	1	1998.292	76
86393	1	1998.375	76
86393	1	1998.458	76
86393	1	1998.542	76
86393	1	1998.625	76
86393	1	1998.708	76
86393	1	1998.792	76
86393	1	1998.875	76
86393	1	1998.958	76
86393	1	1999.042	76
86393	1	1999.125	76
86393	1	1999.208	76
86393	1	1999.292	76
86393	1	1999.375	76
86393	1	1999.458	76
86393	1	1999.542	76
86393	1	1999.625	76
86393	1	1999.708	76
86393	1	1999.792	76
86393	1	1999.875	76
86393	1	1999.958	76
86393	1	2000.042	76
86393	1	2000.125	76
86393	1	2000.208	76
86393	1	2000.292	76
86393	1	2000.375	76
86393	1	2000.458	76
86393	1	2000.542	76
86393	1	2000.625	76
86393	1	2000.708	76
86393	1	2000.792	76
86393	1	2000.875	76
86393	1	2000.958	76
86394	1	1991.042	76
86394	1	1991.125	76
86394	1	1991.208	76
86394	1	1991.292	76
86394	1	1991.375	76
86394	1	1991.458	76
86394	1	1991.542	76
86394	1	1991.625	76
86394	1	1991.708	76
86394	1	1991.792	76
86394	1	1991.875	76
86394	1	1991.958	76
86394	1	1992.042	76
86394	1	1992.125	76
86394	1	1992.208	76
86394	1	1992.292	76
86394	1	1992.375	76
86394	1	1992.458	76
86394	1	1992.542	76
86394	1	1992.625	76
86394	1	1992.708	76
86394	1	1992.792	76
86394	1	1992.875	76
86394	1	1992.958	76
86394	1	1993.042	76
86394	1	1993.125	76
86394	1	1993.208	76
86394	1	1993.292	76
86394	1	1993.375	76
86394	1	1993.458	76
86394	1	1993.542	76
86394	1	1993.625	76
86394	1	1993.708	76
86394	1	1993.792	76
86394	1	1993.875	76
86394	1	1993.958	76
86394	1	1994.042	76
86394	1	1994.125	76
86394	1	1994.208	76
86394	1	1994.292	76
86394	1	1994.375	76
86394	1	1994.458	76
86394	1	1994.542	76
86394	1	1994.625	76
86394	1	1994.708	76
86394	1	1994.792	76
86394	1	1994.875	76
86394	1	1994.958	76
86394	1	1995.042	76
86394	1	1995.125	76
86394	1	1995.208	76
86394	1	1995.292	76
86394	1	1995.375	76
86394	1	1995.458	76
86394	1	1995.542	76
86394	1	1995.625	76
86394	1	1995.708	76
86394	1	1995.792	76
86394	1	1995.875	76
86394	1	1995.958	76
86394	1	1996.042	76
86394	1	1996.125	76
86394	1	1996.208	76
86394	1	1996.292	76
86394	1	1996.375	76
86394	1	1996.458	76
86394	1	1996.542	76
86394	1	1996.625	76
86394	1	1996.708	76
86394	1	1996.792	76
86394	1	1996.875	76
86394	1	1996.958	76
86394	1	1997.042	76
86394	1	1997.125	76
86394	1	1997.208	76
86394	1	1997.292	76
86394	1	1997.375	76
86394	1	1997.458	76
86394	1	1997.542	76
86394	1	1997.625	76
86394	1	1997.708	76
86394	1	1997.792	76
86394	1	1997.875	76
86394	1	1997.958	76
86394	1	1998.042	76
86394	1	1998.125	76
86394	1	1998.208	76
86394	1	1998.292	76
86394	1	1998.375	76
86394	1	1998.458	76
86394	1	1998.542	76
86394	1	1998.625	76
86394	1	1998.708	76
86394	1	1998.792	76
86394	1	1998.875	76
86394	1	1998.958	76
86394	1	1999.042	76
86394	1	1999.125	76
86394	1	1999.208	76
86394	1	1999.292	76
86394	1	1999.375	76
86394	1	1999.458	76
86394	1	1999.542	76
86394	1	1999.625	76
86394	1	1999.708	76
86394	1	1999.792	76
86394	1	1999.875	76
86394	1	1999.958	76
86394	1	2000.042	76
86394	1	2000.125	76
86394	1	2000.208	76
86394	1	2000.292	76
86394	1	2000.375	76
86394	1	2000.458	76
86394	1	2000.542	76
86394	1	2000.625	76
86394	1	2000.708	76
86394	1	2000.792	76
86394	1	2000.875	76
86394	1	2000.958	76
86395	1	1991.042	76
86395	1	1991.125	76
86395	1	1991.208	76
86395	1	1991.292	76
86395	1	1991.375	76
86395	1	1991.458	76
86395	1	1991.542	76
86395	1	1991.625	76
86395	1	1991.708	76
86395	1	1991.792	76
86395	1	1991.875	76
86395	1	1991.958	76
86395	1	1992.042	76
86395	1	1992.125	76
86395	1	1992.208	76
86395	1	1992.292	76
86395	1	1992.375	76
86395	1	1992.458	76
86395	1	1992.542	76
86395	1	1992.625	76
86395	1	1992.708	76
86395	1	1992.792	76
86395	1	1992.875	76
86395	1	1992.958	76
86395	1	1993.042	76
86395	1	1993.125	76
86395	1	1993.208	76
86395	1	1993.292	76
86395	1	1993.375	76
86395	1	1993.458	76
86395	1	1993.542	76
86395	1	1993.625	76
86395	1	1993.708	76
86395	1	1993.792	76
86395	1	1993.875	76
86395	1	1993.958	76
86395	1	1994.042	76
86395	1	1994.125	76
86395	1	1994.208	76
86395	1	1994.292	76
86395	1	1994.375	76
86395	1	1994.458	76
86395	1	1994.542	76
86395	1	1994.625	76
86395	1	1994.708	76
86395	1	1994.792	76
86395	1	1994.875	76
86395	1	1994.958	76
86395	1	1995.042	76
86395	1	1995.125	76
86395	1	1995.208	76
86395	1	1995.292	76
86395	1	1995.375	76
86395	1	1995.458	76
86395	1	1995.542	76
86395	1	1995.625	76
86395	1	1995.708	76
86395	1	1995.792	76
86395	1	1995.875	76
86395	1	1995.958	76
86395	1	1996.042	76
86395	1	1996.125	76
86395	1	1996.208	76
86395	1	1996.292	76
86395	1	1996.375	76
86395	1	1996.458	76
86395	1	1996.542	76
86395	1	1996.625	76
86395	1	1996.708	76
86395	1	1996.792	76
86395	1	1996.875	76
86395	1	1996.958	76
86395	1	1997.042	76
86395	1	1997.125	76
86395	1	1997.208	76
86395	1	1997.292	76
86395	1	1997.375	76
86395	1	1997.458	76
86395	1	1997.542	76
86395	1	1997.625	76
86395	1	1997.708	76
86395	1	1997.792	76
86395	1	1997.875	76
86395	1	1997.958	76
86395	1	1998.042	76
86395	1	1998.125	76
86395	1	1998.208	76
86395	1	1998.292	76
86395	1	1998.375	76
86395	1	1998.458	76
86395	1	1998.542	76
86395	1	1998.625	76
86395	1	1998.708	76
86395	1	1998.792	76
86395	1	1998.875	76
86395	1	1998.958	76
86395	1	1999.042	76
86395	1	1999.125	76
86395	1	1999.208	76
86395	1	1999.292	76
86395	1	1999.375	76
86395	1	1999.458	76
86395	1	1999.542	76
86395	1	1999.625	76
86395	1	1999.708	76
86395	1	1999.792	76
86395	1	1999.875	76
86395	1	1999.958	76
86395	1	2000.042	76
86395	1	2000.125	76
86395	1	2000.208	76
86395	1	2000.292	76
86395	1	2000.375	76
86395	1	2000.458	76
86395	1	2000.542	76
86395	1	2000.625	76
86395	1	2000.708	76
86395	1	2000.792	76
86395	1	2000.875	76
86395	1	2000.958	76
86396	1	1991.042	76
86396	1	1991.125	76
86396	1	1991.208	76
86396	1	1991.292	76
86396	1	1991.375	76
86396	1	1991.458	76
86396	1	1991.542	76
86396	1	1991.625	76
86396	1	1991.708	76
86396	1	1991.792	76
86396	1	1991.875	76
86396	1	1991.958	76
86396	1	1992.042	76
86396	1	1992.125	76
86396	1	1992.208	76
86396	1	1992.292	76
86396	1	1992.375	76
86396	1	1992.458	76
86396	1	1992.542	76
86396	1	1992.625	76
86396	1	1992.708	76
86396	1	1992.792	76
86396	1	1992.875	76
86396	1	1992.958	76
86396	1	1993.042	76
86396	1	1993.125	76
86396	1	1993.208	76
86396	1	1993.292	76
86396	1	1993.375	76
86396	1	1993.458	76
86396	1	1993.542	76
86396	1	1993.625	76
86396	1	1993.708	76
86396	1	1993.792	76
86396	1	1993.875	76
86396	1	1993.958	76
86396	1	1994.042	76
86396	1	1994.125	76
86396	1	1994.208	76
86396	1	1994.292	76
86396	1	1994.375	76
86396	1	1994.458	76
86396	1	1994.542	76
86396	1	1994.625	76
86396	1	1994.708	76
86396	1	1994.792	76
86396	1	1994.875	76
86396	1	1994.958	76
86396	1	1995.042	76
86396	1	1995.125	76
86396	1	1995.208	76
86396	1	1995.292	76
86396	1	1995.375	76
86396	1	1995.458	76
86396	1	1995.542	76
86396	1	1995.625	76
86396	1	1995.708	76
86396	1	1995.792	76
86396	1	1995.875	76
86396	1	1995.958	76
86396	1	1996.042	76
86396	1	1996.125	76
86396	1	1996.208	76
86396	1	1996.292	76
86396	1	1996.375	76
86396	1	1996.458	76
86396	1	1996.542	76
86396	1	1996.625	76
86396	1	1996.708	76
86396	1	1996.792	76
86396	1	1996.875	76
86396	1	1996.958	76
86396	1	1997.042	76
86396	1	1997.125	76
86396	1	1997.208	76
86396	1	1997.292	76
86396	1	1997.375	76
86396	1	1997.458	76
86396	1	1997.542	76
86396	1	1997.625	76
86396	1	1997.708	76
86396	1	1997.792	76
86396	1	1997.875	76
86396	1	1997.958	76
86396	1	1998.042	76
86396	1	1998.125	76
86396	1	1998.208	76
86396	1	1998.292	76
86396	1	1998.375	76
86396	1	1998.458	76
86396	1	1998.542	76
86396	1	1998.625	76
86396	1	1998.708	76
86396	1	1998.792	76
86396	1	1998.875	76
86396	1	1998.958	76
86396	1	1999.042	76
86396	1	1999.125	76
86396	1	1999.208	76
86396	1	1999.292	76
86396	1	1999.375	76
86396	1	1999.458	76
86396	1	1999.542	76
86396	1	1999.625	76
86396	1	1999.708	76
86396	1	1999.792	76
86396	1	1999.875	76
86396	1	1999.958	76
86396	1	2000.042	76
86396	1	2000.125	76
86396	1	2000.208	76
86396	1	2000.292	76
86396	1	2000.375	76
86396	1	2000.458	76
86396	1	2000.542	76
86396	1	2000.625	76
86396	1	2000.708	76
86396	1	2000.792	76
86396	1	2000.875	76
86396	1	2000.958	76
86397	1	1991.042	76
86397	1	1991.125	76
86397	1	1991.208	76
86397	1	1991.292	76
86397	1	1991.375	76
86397	1	1991.458	76
86397	1	1991.542	76
86397	1	1991.625	76
86397	1	1991.708	76
86397	1	1991.792	76
86397	1	1991.875	76
86397	1	1991.958	76
86397	1	1992.042	76
86397	1	1992.125	76
86397	1	1992.208	76
86397	1	1992.292	76
86397	1	1992.375	76
86397	1	1992.458	76
86397	1	1992.542	76
86397	1	1992.625	76
86397	1	1992.708	76
86397	1	1992.792	76
86397	1	1992.875	76
86397	1	1992.958	76
86397	1	1993.042	76
86397	1	1993.125	76
86397	1	1993.208	76
86397	1	1993.292	76
86397	1	1993.375	76
86397	1	1993.458	76
86397	1	1993.542	76
86397	1	1993.625	76
86397	1	1993.708	76
86397	1	1993.792	76
86397	1	1993.875	76
86397	1	1993.958	76
86397	1	1994.042	76
86397	1	1994.125	76
86397	1	1994.208	76
86397	1	1994.292	76
86397	1	1994.375	76
86397	1	1994.458	76
86397	1	1994.542	76
86397	1	1994.625	76
86397	1	1994.708	76
86397	1	1994.792	76
86397	1	1994.875	76
86397	1	1994.958	76
86397	1	1995.042	76
86397	1	1995.125	76
86397	1	1995.208	76
86397	1	1995.292	76
86397	1	1995.375	76
86397	1	1995.458	76
86397	1	1995.542	76
86397	1	1995.625	76
86397	1	1995.708	76
86397	1	1995.792	76
86397	1	1995.875	76
86397	1	1995.958	76
86397	1	1996.042	76
86397	1	1996.125	76
86397	1	1996.208	76
86397	1	1996.292	76
86397	1	1996.375	76
86397	1	1996.458	76
86397	1	1996.542	76
86397	1	1996.625	76
86397	1	1996.708	76
86397	1	1996.792	76
86397	1	1996.875	76
86397	1	1996.958	76
86397	1	1997.042	76
86397	1	1997.125	76
86397	1	1997.208	76
86397	1	1997.292	76
86397	1	1997.375	76
86397	1	1997.458	76
86397	1	1997.542	76
86397	1	1997.625	76
86397	1	1997.708	76
86397	1	1997.792	76
86397	1	1997.875	76
86397	1	1997.958	76
86397	1	1998.042	76
86397	1	1998.125	76
86397	1	1998.208	76
86397	1	1998.292	76
86397	1	1998.375	76
86397	1	1998.458	76
86397	1	1998.542	76
86397	1	1998.625	76
86397	1	1998.708	76
86397	1	1998.792	76
86397	1	1998.875	76
86397	1	1998.958	76
86397	1	1999.042	76
86397	1	1999.125	76
86397	1	1999.208	76
86397	1	1999.292	76
86397	1	1999.375	76
86397	1	1999.458	76
86397	1	1999.542	76
86397	1	1999.625	76
86397	1	1999.708	76
86397	1	1999.792	76
86397	1	1999.875	76
86397	1	1999.958	76
86397	1	2000.042	76
86397	1	2000.125	76
86397	1	2000.208	76
86397	1	2000.292	76
86397	1	2000.375	76
86397	1	2000.458	76
86397	1	2000.542	76
86397	1	2000.625	76
86397	1	2000.708	76
86397	1	2000.792	76
86397	1	2000.875	76
86397	1	2000.958	76
86398	1	1991.042	76
86398	1	1991.125	76
86398	1	1991.208	76
86398	1	1991.292	76
86398	1	1991.375	76
86398	1	1991.458	76
86398	1	1991.542	76
86398	1	1991.625	76
86398	1	1991.708	76
86398	1	1991.792	76
86398	1	1991.875	76
86398	1	1991.958	76
86398	1	1992.042	76
86398	1	1992.125	76
86398	1	1992.208	76
86398	1	1992.292	76
86398	1	1992.375	76
86398	1	1992.458	76
86398	1	1992.542	76
86398	1	1992.625	76
86398	1	1992.708	76
86398	1	1992.792	76
86398	1	1992.875	76
86398	1	1992.958	76
86398	1	1993.042	76
86398	1	1993.125	76
86398	1	1993.208	76
86398	1	1993.292	76
86398	1	1993.375	76
86398	1	1993.458	76
86398	1	1993.542	76
86398	1	1993.625	76
86398	1	1993.708	76
86398	1	1993.792	76
86398	1	1993.875	76
86398	1	1993.958	76
86398	1	1994.042	76
86398	1	1994.125	76
86398	1	1994.208	76
86398	1	1994.292	76
86398	1	1994.375	76
86398	1	1994.458	76
86398	1	1994.542	76
86398	1	1994.625	76
86398	1	1994.708	76
86398	1	1994.792	76
86398	1	1994.875	76
86398	1	1994.958	76
86398	1	1995.042	76
86398	1	1995.125	76
86398	1	1995.208	76
86398	1	1995.292	76
86398	1	1995.375	76
86398	1	1995.458	76
86398	1	1995.542	76
86398	1	1995.625	76
86398	1	1995.708	76
86398	1	1995.792	76
86398	1	1995.875	76
86398	1	1995.958	76
86398	1	1996.042	76
86398	1	1996.125	76
86398	1	1996.208	76
86398	1	1996.292	76
86398	1	1996.375	76
86398	1	1996.458	76
86398	1	1996.542	76
86398	1	1996.625	76
86398	1	1996.708	76
86398	1	1996.792	76
86398	1	1996.875	76
86398	1	1996.958	76
86398	1	1997.042	76
86398	1	1997.125	76
86398	1	1997.208	76
86398	1	1997.292	76
86398	1	1997.375	76
86398	1	1997.458	76
86398	1	1997.542	76
86398	1	1997.625	76
86398	1	1997.708	76
86398	1	1997.792	76
86398	1	1997.875	76
86398	1	1997.958	76
86398	1	1998.042	76
86398	1	1998.125	76
86398	1	1998.208	76
86398	1	1998.292	76
86398	1	1998.375	76
86398	1	1998.458	76
86398	1	1998.542	76
86398	1	1998.625	76
86398	1	1998.708	76
86398	1	1998.792	76
86398	1	1998.875	76
86398	1	1998.958	76
86398	1	1999.042	76
86398	1	1999.125	76
86398	1	1999.208	76
86398	1	1999.292	76
86398	1	1999.375	76
86398	1	1999.458	76
86398	1	1999.542	76
86398	1	1999.625	76
86398	1	1999.708	76
86398	1	1999.792	76
86398	1	1999.875	76
86398	1	1999.958	76
86398	1	2000.042	76
86398	1	2000.125	76
86398	1	2000.208	76
86398	1	2000.292	76
86398	1	2000.375	76
86398	1	2000.458	76
86398	1	2000.542	76
86398	1	2000.625	76
86398	1	2000.708	76
86398	1	2000.792	76
86398	1	2000.875	76
86398	1	2000.958	76
86399	1	1991.042	76
86399	1	1991.125	76
86399	1	1991.208	76
86399	1	1991.292	76
86399	1	1991.375	76
86399	1	1991.458	76
86399	1	1991.542	76
86399	1	1991.625	76
86399	1	1991.708	76
86399	1	1991.792	76
86399	1	1991.875	76
86399	1	1991.958	76
86399	1	1992.042	76
86399	1	1992.125	76
86399	1	1992.208	76
86399	1	1992.292	76
86399	1	1992.375	76
86399	1	1992.458	76
86399	1	1992.542	76
86399	1	1992.625	76
86399	1	1992.708	76
86399	1	1992.792	76
86399	1	1992.875	76
86399	1	1992.958	76
86399	1	1993.042	76
86399	1	1993.125	76
86399	1	1993.208	76
86399	1	1993.292	76
86399	1	1993.375	76
86399	1	1993.458	76
86399	1	1993.542	76
86399	1	1993.625	76
86399	1	1993.708	76
86399	1	1993.792	76
86399	1	1993.875	76
86399	1	1993.958	76
86399	1	1994.042	76
86399	1	1994.125	76
86399	1	1994.208	76
86399	1	1994.292	76
86399	1	1994.375	76
86399	1	1994.458	76
86399	1	1994.542	76
86399	1	1994.625	76
86399	1	1994.708	76
86399	1	1994.792	76
86399	1	1994.875	76
86399	1	1994.958	76
86399	1	1995.042	76
86399	1	1995.125	76
86399	1	1995.208	76
86399	1	1995.292	76
86399	1	1995.375	76
86399	1	1995.458	76
86399	1	1995.542	76
86399	1	1995.625	76
86399	1	1995.708	76
86399	1	1995.792	76
86399	1	1995.875	76
86399	1	1995.958	76
86399	1	1996.042	76
86399	1	1996.125	76
86399	1	1996.208	76
86399	1	1996.292	76
86399	1	1996.375	76
86399	1	1996.458	76
86399	1	1996.542	76
86399	1	1996.625	76
86399	1	1996.708	76
86399	1	1996.792	76
86399	1	1996.875	76
86399	1	1996.958	76
86399	1	1997.042	76
86399	1	1997.125	76
86399	1	1997.208	76
86399	1	1997.292	76
86399	1	1997.375	76
86399	1	1997.458	76
86399	1	1997.542	76
86399	1	1997.625	76
86399	1	1997.708	76
86399	1	1997.792	76
86399	1	1997.875	76
86399	1	1997.958	76
86399	1	1998.042	76
86399	1	1998.125	76
86399	1	1998.208	76
86399	1	1998.292	76
86399	1	1998.375	76
86399	1	1998.458	76
86399	1	1998.542	76
86399	1	1998.625	76
86399	1	1998.708	76
86399	1	1998.792	76
86399	1	1998.875	76
86399	1	1998.958	76
86399	1	1999.042	76
86399	1	1999.125	76
86399	1	1999.208	76
86399	1	1999.292	76
86399	1	1999.375	76
86399	1	1999.458	76
86399	1	1999.542	76
86399	1	1999.625	76
86399	1	1999.708	76
86399	1	1999.792	76
86399	1	1999.875	76
86399	1	1999.958	76
86399	1	2000.042	76
86399	1	2000.125	76
86399	1	2000.208	76
86399	1	2000.292	76
86399	1	2000.375	76
86399	1	2000.458	76
86399	1	2000.542	76
86399	1	2000.625	76
86399	1	2000.708	76
86399	1	2000.792	76
86399	1	2000.875	76
86399	1	2000.958	76
86400	1	1991.042	76
86400	1	1991.125	76
86400	1	1991.208	76
86400	1	1991.292	76
86400	1	1991.375	76
86400	1	1991.458	76
86400	1	1991.542	76
86400	1	1991.625	76
86400	1	1991.708	76
86400	1	1991.792	76
86400	1	1991.875	76
86400	1	1991.958	76
86400	1	1992.042	76
86400	1	1992.125	76
86400	1	1992.208	76
86400	1	1992.292	76
86400	1	1992.375	76
86400	1	1992.458	76
86400	1	1992.542	76
86400	1	1992.625	76
86400	1	1992.708	76
86400	1	1992.792	76
86400	1	1992.875	76
86400	1	1992.958	76
86400	1	1993.042	76
86400	1	1993.125	76
86400	1	1993.208	76
86400	1	1993.292	76
86400	1	1993.375	76
86400	1	1993.458	76
86400	1	1993.542	76
86400	1	1993.625	76
86400	1	1993.708	76
86400	1	1993.792	76
86400	1	1993.875	76
86400	1	1993.958	76
86400	1	1994.042	76
86400	1	1994.125	76
86400	1	1994.208	76
86400	1	1994.292	76
86400	1	1994.375	76
86400	1	1994.458	76
86400	1	1994.542	76
86400	1	1994.625	76
86400	1	1994.708	76
86400	1	1994.792	76
86400	1	1994.875	76
86400	1	1994.958	76
86400	1	1995.042	76
86400	1	1995.125	76
86400	1	1995.208	76
86400	1	1995.292	76
86400	1	1995.375	76
86400	1	1995.458	76
86400	1	1995.542	76
86400	1	1995.625	76
86400	1	1995.708	76
86400	1	1995.792	76
86400	1	1995.875	76
86400	1	1995.958	76
86400	1	1996.042	76
86400	1	1996.125	76
86400	1	1996.208	76
86400	1	1996.292	76
86400	1	1996.375	76
86400	1	1996.458	76
86400	1	1996.542	76
86400	1	1996.625	76
86400	1	1996.708	76
86400	1	1996.792	76
86400	1	1996.875	76
86400	1	1996.958	76
86400	1	1997.042	76
86400	1	1997.125	76
86400	1	1997.208	76
86400	1	1997.292	76
86400	1	1997.375	76
86400	1	1997.458	76
86400	1	1997.542	76
86400	1	1997.625	76
86400	1	1997.708	76
86400	1	1997.792	76
86400	1	1997.875	76
86400	1	1997.958	76
86400	1	1998.042	76
86400	1	1998.125	76
86400	1	1998.208	76
86400	1	1998.292	76
86400	1	1998.375	76
86400	1	1998.458	76
86400	1	1998.542	76
86400	1	1998.625	76
86400	1	1998.708	76
86400	1	1998.792	76
86400	1	1998.875	76
86400	1	1998.958	76
86400	1	1999.042	76
86400	1	1999.125	76
86400	1	1999.208	76
86400	1	1999.292	76
86400	1	1999.375	76
86400	1	1999.458	76
